"","year","siteID","treatment","abundance"
"1",1988,"1988wintere","exclosure",2
"2",1988,"1988wintere","exclosure",229
"3",1988,"1988wintere","exclosure",56
"4",1988,"1988wintere","exclosure",18
"5",1988,"1988wintere","exclosure",11
"6",1988,"1988wintere","exclosure",315
"7",1988,"1988wintere","exclosure",2
"8",1988,"1988wintere","exclosure",72
"9",1988,"1988wintere","exclosure",20
"10",1988,"1988wintere","exclosure",23
"11",1988,"1988wintere","exclosure",627
"12",1988,"1988wintere","exclosure",4
"13",1988,"1988wintere","exclosure",106
"14",1988,"1988wintere","exclosure",247
"15",1988,"1988wintere","exclosure",2
"16",1988,"1988wintere","exclosure",5
"17",1988,"1988wintere","exclosure",6
"18",1988,"1988wintere","exclosure",3637
"19",1988,"1988wintere","exclosure",4
"20",1988,"1988wintere","exclosure",1
"21",1988,"1988wintere","exclosure",27
"22",1988,"1988wintere","exclosure",12
"23",1988,"1988wintere","exclosure",20
"24",1988,"1988wintere","exclosure",6
"25",1988,"1988wintere","exclosure",6
"26",1988,"1988wintere","exclosure",134
"27",1988,"1988wintere","exclosure",4
"28",1988,"1988wintere","exclosure",4
"29",1988,"1988wintere","exclosure",4
"30",1988,"1988wintere","exclosure",29
"31",1988,"1988wintere","exclosure",1
"32",1988,"1988wintere","exclosure",3
"33",1988,"1988wintere","exclosure",2
