"","year","siteID","treatment","abundance"
"1",1989,"1989summere","exclosure",5
"2",1989,"1989summere","exclosure",7
"3",1989,"1989summere","exclosure",6567
"4",1989,"1989summere","exclosure",58
"5",1989,"1989summere","exclosure",13
"6",1989,"1989summere","exclosure",1064
"7",1989,"1989summere","exclosure",1
"8",1989,"1989summere","exclosure",7612
"9",1989,"1989summere","exclosure",68
"10",1989,"1989summere","exclosure",1
"11",1989,"1989summere","exclosure",63
"12",1989,"1989summere","exclosure",5
"13",1989,"1989summere","exclosure",20
"14",1989,"1989summere","exclosure",68
"15",1989,"1989summere","exclosure",50
"16",1989,"1989summere","exclosure",27
"17",1989,"1989summere","exclosure",1
"18",1989,"1989summere","exclosure",56
"19",1989,"1989summere","exclosure",58
"20",1989,"1989summere","exclosure",7
"21",1989,"1989summere","exclosure",2
"22",1989,"1989summere","exclosure",20
"23",1989,"1989summere","exclosure",387
"24",1989,"1989summere","exclosure",23
"25",1989,"1989summere","exclosure",1
"26",1989,"1989summere","exclosure",15
"27",1989,"1989summere","exclosure",2
"28",1989,"1989summere","exclosure",11
"29",1989,"1989summere","exclosure",5
"30",1989,"1989summere","exclosure",4
"31",1989,"1989summere","exclosure",159
"32",1989,"1989summere","exclosure",11
"33",1989,"1989summere","exclosure",44
"34",1989,"1989summere","exclosure",30
"35",1989,"1989summere","exclosure",46
"36",1989,"1989summere","exclosure",10
"37",1989,"1989summere","exclosure",2740
"38",1989,"1989summere","exclosure",8
"39",1989,"1989summere","exclosure",4
"40",1989,"1989summere","exclosure",58
"41",1989,"1989summere","exclosure",10
"42",1989,"1989summere","exclosure",35
"43",1989,"1989summere","exclosure",3
"44",1989,"1989summere","exclosure",47
"45",1989,"1989summere","exclosure",1
"46",1989,"1989summere","exclosure",2
"47",1989,"1989summere","exclosure",7
"48",1989,"1989summere","exclosure",347
