"","year","siteID","treatment","abundance"
"1",1992,"1992winterc","control",1
"2",1992,"1992winterc","control",2
"3",1992,"1992winterc","control",9
"4",1992,"1992winterc","control",11
"5",1992,"1992winterc","control",26
"6",1992,"1992winterc","control",7
"7",1992,"1992winterc","control",11
"8",1992,"1992winterc","control",2
"9",1992,"1992winterc","control",1
"10",1992,"1992winterc","control",8
"11",1992,"1992winterc","control",1
"12",1992,"1992winterc","control",74
"13",1992,"1992winterc","control",15
"14",1992,"1992winterc","control",2
"15",1992,"1992winterc","control",64
"16",1992,"1992winterc","control",2
"17",1992,"1992winterc","control",87
"18",1992,"1992winterc","control",5
"19",1992,"1992winterc","control",1366
"20",1992,"1992winterc","control",53
"21",1992,"1992winterc","control",2938
"22",1992,"1992winterc","control",17
"23",1992,"1992winterc","control",21
"24",1992,"1992winterc","control",8531
"25",1992,"1992winterc","control",15
"26",1992,"1992winterc","control",4
"27",1992,"1992winterc","control",4
"28",1992,"1992winterc","control",7
"29",1992,"1992winterc","control",9
"30",1992,"1992winterc","control",84
"31",1992,"1992winterc","control",37
"32",1992,"1992winterc","control",4
"33",1992,"1992winterc","control",2
"34",1992,"1992winterc","control",2
"35",1992,"1992winterc","control",26
"36",1992,"1992winterc","control",56
"37",1992,"1992winterc","control",5
"38",1992,"1992winterc","control",2
"39",1992,"1992winterc","control",6
"40",1992,"1992winterc","control",90
"41",1992,"1992winterc","control",97
"42",1992,"1992winterc","control",23
"43",1992,"1992winterc","control",69
"44",1992,"1992winterc","control",16
