"","year","siteID","treatment","abundance"
"1",1995,"1995winterr","removal",2
"2",1995,"1995winterr","removal",5
"3",1995,"1995winterr","removal",5191
"4",1995,"1995winterr","removal",1
"5",1995,"1995winterr","removal",16
"6",1995,"1995winterr","removal",67
"7",1995,"1995winterr","removal",28
"8",1995,"1995winterr","removal",2
"9",1995,"1995winterr","removal",2
"10",1995,"1995winterr","removal",87
"11",1995,"1995winterr","removal",51
"12",1995,"1995winterr","removal",3
"13",1995,"1995winterr","removal",2
"14",1995,"1995winterr","removal",440
"15",1995,"1995winterr","removal",61
"16",1995,"1995winterr","removal",345
"17",1995,"1995winterr","removal",31
"18",1995,"1995winterr","removal",39
"19",1995,"1995winterr","removal",24
"20",1995,"1995winterr","removal",9
"21",1995,"1995winterr","removal",247
"22",1995,"1995winterr","removal",2
"23",1995,"1995winterr","removal",5
"24",1995,"1995winterr","removal",2
"25",1995,"1995winterr","removal",6
"26",1995,"1995winterr","removal",230
"27",1995,"1995winterr","removal",1
"28",1995,"1995winterr","removal",70
"29",1995,"1995winterr","removal",31
"30",1995,"1995winterr","removal",1
"31",1995,"1995winterr","removal",8
"32",1995,"1995winterr","removal",48
"33",1995,"1995winterr","removal",173
"34",1995,"1995winterr","removal",1
"35",1995,"1995winterr","removal",1
"36",1995,"1995winterr","removal",64
"37",1995,"1995winterr","removal",8
"38",1995,"1995winterr","removal",208
"39",1995,"1995winterr","removal",2
