"","year","siteID","treatment","abundance"
"1",2011,"2011summerc","control",4
"2",2011,"2011summerc","control",2
"3",2011,"2011summerc","control",13
"4",2011,"2011summerc","control",23
"5",2011,"2011summerc","control",54
"6",2011,"2011summerc","control",20
"7",2011,"2011summerc","control",175
"8",2011,"2011summerc","control",21
"9",2011,"2011summerc","control",4
"10",2011,"2011summerc","control",7
"11",2011,"2011summerc","control",1
"12",2011,"2011summerc","control",1
"13",2011,"2011summerc","control",2
"14",2011,"2011summerc","control",17
"15",2011,"2011summerc","control",67
"16",2011,"2011summerc","control",163
"17",2011,"2011summerc","control",1
"18",2011,"2011summerc","control",1
"19",2011,"2011summerc","control",6
"20",2011,"2011summerc","control",5
"21",2011,"2011summerc","control",35
"22",2011,"2011summerc","control",23
