"","year","siteID","treatment","abundance"
"1",2017,"2017summerr","removal",20
"2",2017,"2017summerr","removal",1
"3",2017,"2017summerr","removal",167
"4",2017,"2017summerr","removal",6
"5",2017,"2017summerr","removal",1864
"6",2017,"2017summerr","removal",2
"7",2017,"2017summerr","removal",127
"8",2017,"2017summerr","removal",30
"9",2017,"2017summerr","removal",3426
"10",2017,"2017summerr","removal",7
"11",2017,"2017summerr","removal",4
"12",2017,"2017summerr","removal",3
"13",2017,"2017summerr","removal",1
"14",2017,"2017summerr","removal",2
"15",2017,"2017summerr","removal",133
"16",2017,"2017summerr","removal",2
"17",2017,"2017summerr","removal",27
"18",2017,"2017summerr","removal",2
"19",2017,"2017summerr","removal",1
"20",2017,"2017summerr","removal",24
"21",2017,"2017summerr","removal",2
"22",2017,"2017summerr","removal",1
"23",2017,"2017summerr","removal",7
"24",2017,"2017summerr","removal",5
"25",2017,"2017summerr","removal",5
"26",2017,"2017summerr","removal",1
"27",2017,"2017summerr","removal",3
"28",2017,"2017summerr","removal",34
"29",2017,"2017summerr","removal",33
"30",2017,"2017summerr","removal",1
"31",2017,"2017summerr","removal",1
"32",2017,"2017summerr","removal",1
"33",2017,"2017summerr","removal",2
"34",2017,"2017summerr","removal",3
"35",2017,"2017summerr","removal",4
"36",2017,"2017summerr","removal",1
"37",2017,"2017summerr","removal",37
"38",2017,"2017summerr","removal",3
"39",2017,"2017summerr","removal",41
"40",2017,"2017summerr","removal",2
