"","year","siteID","treatment","abundance"
"1",1981,"1981summerc","control",154
"2",1981,"1981summerc","control",137
"3",1981,"1981summerc","control",26
"4",1981,"1981summerc","control",3
"5",1981,"1981summerc","control",383
"6",1981,"1981summerc","control",1
"7",1981,"1981summerc","control",4
"8",1981,"1981summerc","control",6
"9",1981,"1981summerc","control",5
"10",1981,"1981summerc","control",60
"11",1981,"1981summerc","control",334
"12",1981,"1981summerc","control",25
"13",1981,"1981summerc","control",9
"14",1981,"1981summere","exclosure",2
"15",1981,"1981summere","exclosure",113
"16",1981,"1981summere","exclosure",200
"17",1981,"1981summere","exclosure",8
"18",1981,"1981summere","exclosure",2
"19",1981,"1981summere","exclosure",223
"20",1981,"1981summere","exclosure",8
"21",1981,"1981summere","exclosure",2
"22",1981,"1981summere","exclosure",3
"23",1981,"1981summere","exclosure",122
"24",1981,"1981summere","exclosure",1
"25",1981,"1981summere","exclosure",54
"26",1981,"1981summere","exclosure",146
"27",1981,"1981summere","exclosure",5
"28",1981,"1981summere","exclosure",36
"29",1981,"1981summere","exclosure",2
"30",1981,"1981summerr","removal",12
"31",1981,"1981summerr","removal",21
"32",1981,"1981summerr","removal",180
"33",1981,"1981summerr","removal",287
"34",1981,"1981summerr","removal",10
"35",1981,"1981summerr","removal",2
"36",1981,"1981summerr","removal",282
"37",1981,"1981summerr","removal",1
"38",1981,"1981summerr","removal",1
"39",1981,"1981summerr","removal",21
"40",1981,"1981summerr","removal",16
"41",1981,"1981summerr","removal",2
"42",1981,"1981summerr","removal",145
"43",1981,"1981summerr","removal",44
"44",1981,"1981summerr","removal",788
"45",1981,"1981summerr","removal",1
"46",1981,"1981summerr","removal",59
"47",1981,"1981summerr","removal",2
"48",1982,"1982summerc","control",1
"49",1982,"1982summerc","control",5
"50",1982,"1982summerc","control",47
"51",1982,"1982summerc","control",427
"52",1982,"1982summerc","control",206
"53",1982,"1982summerc","control",157
"54",1982,"1982summerc","control",3
"55",1982,"1982summerc","control",2
"56",1982,"1982summerc","control",2
"57",1982,"1982summerc","control",5
"58",1982,"1982summerc","control",18
"59",1982,"1982summerc","control",20
"60",1982,"1982summere","exclosure",34
"61",1982,"1982summere","exclosure",47
"62",1982,"1982summere","exclosure",683
"63",1982,"1982summere","exclosure",76
"64",1982,"1982summere","exclosure",1
"65",1982,"1982summere","exclosure",87
"66",1982,"1982summere","exclosure",2
"67",1982,"1982summere","exclosure",7
"68",1982,"1982summere","exclosure",7
"69",1982,"1982summere","exclosure",16
"70",1982,"1982summerr","removal",1
"71",1982,"1982summerr","removal",30
"72",1982,"1982summerr","removal",174
"73",1982,"1982summerr","removal",608
"74",1982,"1982summerr","removal",265
"75",1982,"1982summerr","removal",1
"76",1982,"1982summerr","removal",78
"77",1982,"1982summerr","removal",6
"78",1982,"1982summerr","removal",8
"79",1982,"1982summerr","removal",2
"80",1982,"1982summerr","removal",13
"81",1982,"1982summerr","removal",44
"82",1982,"1982summerr","removal",3
"83",1982,"1982summerr","removal",34
