"","year","siteID","treatment","abundance"
"1",1994,"1994summerc","control",3
"2",1994,"1994summerc","control",1
"3",1994,"1994summerc","control",1
"4",1994,"1994summerc","control",2
"5",1994,"1994summerc","control",5
"6",1994,"1994summerc","control",11
"7",1994,"1994summerc","control",1
"8",1994,"1994summerc","control",1
"9",1994,"1994summerc","control",4
"10",1994,"1994summerc","control",7
"11",1994,"1994summerc","control",1
"12",1994,"1994summerc","control",2
"13",1994,"1994summerc","control",4
"14",1994,"1994summerc","control",1
"15",1994,"1994summerc","control",13
"16",1994,"1994summerc","control",4
"17",1994,"1994summerc","control",12
