"","siteID","s","n","real_v","fs_percentile","mete_percentile"
"1","summer1979",2,9,1.88988157484231,0.756,0.567
"2","winter1980",23,82,15.5292877991844,0.585,0.51
"3","summer1980",23,110,17.9373322086009,0.905,0.978
"4","winter1981",21,70,14.8328773256435,0.638,0.595
"5","summer1981",25,102,18.4466752455513,0.857,0.888
"6","winter1982",26,141,15.2193522979765,0.352,0.486
"7","summer1982",33,149,19.0677050632926,0.42,0.331
"8","winter1983",23,119,14.6760003621867,0.508,0.653
"9","summer1983",30,129,21.9751047782144,0.856,0.919
"10","winter1984",18,95,14.0962232736766,0.851,0.966
"11","summer1984",16,73,10.8933891274007,0.468,0.667
"12","winter1985",15,65,9.88663814170099,0.417,0.513
"13","summer1985",19,82,12.7400656656372,0.508,0.625
"14","winter1986",20,97,14.3693395292888,0.726,0.858
"15","summer1986",20,102,13.8314405390521,0.636,0.813
"16","winter1987",23,94,16.199562141807,0.71,0.742
"17","summer1987",42,141,27.1968482101966,0.776,0.432
"18","winter1988",30,116,19.5678923171223,0.634,0.551
"19","summer1988",30,97,19.9577491098054,0.683,0.41
"20","winter1989",30,139,19.0802248670734,0.617,0.611
"21","summer1989",23,100,15.3473354027707,0.591,0.65
"22","winter1990",35,189,21.7171028200214,0.609,0.712
"23","summer1990",17,140,11.5230396737972,0.543,0.911
"24","winter1991",15,162,9.93833365491614,0.417,0.906
"25","summer1991",22,109,13.6393981226713,0.401,0.541
"26","winter1992",26,129,16.4373582442957,0.504,0.643
"27","summer1992",25,142,14.756750458618,0.39,0.536
"28","winter1993",17,88,8.88639103685656,0.101,0.197
"29","summer1993",19,82,13.2742626760404,0.631,0.729
"30","winter1994",9,82,6.85479767663647,0.649,0.92
"31","summer1994",9,71,6.57265714453635,0.533,0.837
"32","winter1995",10,74,7.87114805308964,0.752,0.932
"33","summer1995",18,169,11.6733151740624,0.421,0.89
"34","winter1996",27,166,15.0165967344223,0.262,0.446
"35","summer1996",25,167,17.6488340373016,0.786,0.946
"36","winter1997",25,191,12.4915172582846,0.097,0.365
"37","summer1997",35,254,21.6096702520922,0.605,0.853
"38","winter1998",12,146,7.24355871030464,0.21,0.762
"39","summer1998",26,168,14.5771182634203,0.263,0.503
"40","winter1999",11,117,7.05183498724673,0.291,0.754
"41","summer1999",14,70,7.54931629342408,0.094,0.232
"42","winter2000",18,101,14.0002496838106,0.865,0.975
"43","summer2000",17,166,14.3393459650996,0.972,0.998
"44","winter2001",9,57,5.71918373904179,0.243,0.531
"45","summer2001",20,140,11.5580435139834,0.256,0.541
"46","winter2002",18,142,12.7537125212181,0.694,0.938
"47","summer2002",26,187,19.8933554512673,0.929,0.997
"48","winter2003",36,304,28.0687063651996,0.983,1
"49","summer2003",35,296,25.9865164179402,0.957,0.999
"50","winter2004",25,127,18.4536143656588,0.838,0.938
"51","summer2004",13,91,8.94642186486619,0.492,0.813
"52","winter2005",12,76,10.3500777453705,0.94,0.994
"53","summer2005",29,272,21.4415520652811,0.918,0.998
"54","winter2006",29,168,23.334544624217,0.972,1
"55","summer2006",17,153,10.2199477450218,0.275,0.73
"56","winter2007",24,305,15.2732691117912,0.464,0.954
"57","summer2007",28,435,19.2737608830579,0.738,0.997
"58","winter2008",38,310,26.8325632680463,0.914,0.996
"59","summer2008",46,363,28.5307575133463,0.713,0.945
"60","winter2009",26,166,17.4686461846511,0.67,0.898
"61","summer2009",26,188,19.7173431604009,0.923,0.992
"62","winter2010",13,47,9.60176628727197,0.576,0.675
"63","summer2010",9,93,7.43631394976564,0.834,0.98
"64","winter2011",8,55,5.78720841385565,0.454,0.764
"65","summer2011",15,166,9.60630440778133,0.365,0.855
"66","winter2012",18,189,10.5540517701032,0.223,0.744
"67","summer2012",17,346,10.2919662807305,0.245,0.916
"68","winter2013",13,171,8.8036450576018,0.441,0.924
"69","summer2013",10,197,8.25387263076198,0.908,0.997
"70","winter2014",20,185,10.3430075746223,0.091,0.486
"71","summer2014",22,363,12.9108768580882,0.239,0.892
"72","winter2015",30,198,18.1347660900729,0.477,0.732
"73","summer2015",33,418,20.2429620320941,0.497,0.967
"74","winter2016",20,161,12.9372059613282,0.434,0.846
"75","summer2016",20,199,15.0335859727075,0.823,0.994
"76","winter2017",23,141,14.6920033459774,0.504,0.737
"77","summer2017",20,208,12.4541522632181,0.391,0.849
"78","winter2018",13,72,8.03994176062816,0.286,0.487
"79","summer2018",23,137,15.0343349442502,0.573,0.806
"80","winter2019",7,39,4.83685928664912,0.334,0.549
"81","summer2019",16,131,12.9768938596808,0.92,0.994
"82","winter2020",9,68,5.92505105939621,0.322,0.628
"83","summer2021",4,31,2.60007507924741,0.14,0.303
